001,0.919161,0.400498,0.89634,0.51545,
002,0.933385,0.412935,0.88756,0.47121,
003,0.869363,0.388060,0.87566,0.45212,
001,0.935697,0.442786,0.90676,0.48545,
002,0.874835,0.420398,0.91670,0.47788,
001,0.906668,0.395522,0.92517,0.48424,
002,0.920765,0.388060,0.90418,0.47667,
003,0.845713,0.360697,0.92123,0.48394,
004,0.817954,0.340796,0.83641,0.44879,
001,0.887404,0.421642,6.06579,1.02067,0.54545,5.12299
001,0.607176,0.273201,7.80833,0.62833,0.37515,6.83870
002,0.595500,0.268605,7.87022,0.62802,0.37606,6.80981
003,0.593645,0.266931,7.87719,0.61393,0.37758,6.77756
004,0.593256,0.266484,7.90666,0.62444,0.37212,6.77046
005,0.592593,0.267108,7.88827,0.62093,0.37727,6.77670
006,0.593046,0.267763,7.85809,0.64355,0.37515,6.76410
007,0.594152,0.266775,7.88438,0.65994,0.38727,6.54872
008,0.593012,0.266338,7.88034,0.60363,0.36879,6.80028
009,0.593931,0.265933,7.90354,0.71952,0.41424,6.14496
010,0.593404,0.266962,7.88221,0.61502,0.37394,6.75180
011,0.594489,0.266193,7.88048,0.61343,0.37394,6.68554
012,0.594531,0.267752,7.85918,0.63005,0.37091,6.82426
013,0.530871,0.239885,8.24823,0.55816,0.34152,7.17499
014,0.483088,0.221616,8.51471,0.49150,0.32939,7.34690
015,0.458517,0.213006,8.61355,0.49163,0.33333,7.32735
016,0.449093,0.210542,8.63858,0.50885,0.33515,7.30983
017,0.444232,0.207339,8.69833,0.46997,0.33242,7.34894
018,0.439674,0.207162,8.68957,0.47056,0.32212,7.43129
019,0.436169,0.205499,8.71808,0.47918,0.32909,7.38280
020,0.433195,0.204074,8.73233,0.49921,0.32970,7.42541
021,0.432883,0.204251,8.73744,0.47906,0.33121,7.41675
022,0.430802,0.204084,8.73971,0.49708,0.33545,7.31075
023,0.397088,0.193790,8.86041,0.45008,0.32788,7.44735
024,0.387673,0.189901,8.93145,0.43984,0.32545,7.48815
