001,0.178549,0.183756,0.885758
002,0.127921,0.136056,0.858485
003,0.116579,0.155271,0.845152
001,5.971241,3.362497,1.000000
001,4.820779,2.337921,0.898485
002,4.138361,1.975729,0.785455
003,3.609358,1.828100,0.722121
004,3.348185,1.728145,0.689091
005,3.177258,1.662972,0.673333
006,3.038587,1.632110,0.663939
007,2.938265,1.557968,0.646970
001,2.865365,0.637022,1.551291,0.636364
002,2.789530,0.623088,1.508776,0.622121
003,2.719370,0.610444,1.468327,0.611818
004,2.664373,0.602406,1.465140,0.606667
005,2.631854,0.596698,1.424782,0.593333
006,2.597447,0.589700,1.415358,0.588788
007,2.548187,0.579333,1.421230,0.600303
008,2.517362,0.574113,1.396222,0.582424
009,2.483817,0.569018,1.382239,0.576667
010,2.453326,0.563642,1.375267,0.573636
011,2.415096,0.556925,1.343092,0.569394
012,2.386931,0.552038,1.310173,0.550606
013,2.361156,0.546818,1.338421,0.562121
014,2.348893,0.544208,1.322725,0.557576
015,2.244207,0.525356,1.283370,0.544848
016,2.211401,0.518951,1.282941,0.539697
017,2.187711,0.513616,1.268794,0.539697
018,2.173080,0.512025,1.255032,0.526061
019,2.170676,0.511641,1.247126,0.542121
020,2.158419,0.508074,1.250799,0.528485
021,2.136865,0.505381,1.238905,0.528788
022,2.136239,0.505506,1.259716,0.544545
